id,room_id/id,noted_date,temp,out/in,minute
__export__.temp_log_188251_86256912,Room Admin,2018-12-06 08:49:00,42,Out,2018-12-06 08:49:00
__export__.temp_log_188209_0b293a88,Room Admin,2018-12-06 08:39:00,41,Out,2018-12-06 08:39:00
__export__.temp_log_188210_843b4545,Room Admin,2018-12-06 08:39:00,41,Out,2018-12-06 08:39:00
__export__.temp_log_188190_034c6abb,Room Admin,2018-12-06 08:35:00,41,Out,2018-12-06 08:35:00
__export__.temp_log_188189_a79f1dde,Room Admin,2018-12-06 08:35:00,41,Out,2018-12-06 08:35:00
__export__.temp_log_188174_3a896ba2,Room Admin,2018-12-06 08:31:00,41,Out,2018-12-06 08:31:00
__export__.temp_log_188173_f0835f44,Room Admin,2018-12-06 08:31:00,41,Out,2018-12-06 08:31:00
__export__.temp_log_188172_b29073f3,Room Admin,2018-12-06 08:29:00,42,Out,2018-12-06 08:29:00
__export__.temp_log_188169_0e155ce4,Room Admin,2018-12-06 08:29:00,42,Out,2018-12-06 08:29:00
__export__.temp_log_188185_e1382fe1,Room Admin,2018-12-06 08:27:00,41,Out,2018-12-06 08:27:00
__export__.temp_log_188186_1663a604,Room Admin,2018-12-06 08:27:00,41,Out,2018-12-06 08:27:00
__export__.temp_log_188149_2dc433c0,Room Admin,2018-12-06 08:23:00,42,Out,2018-12-06 08:23:00
__export__.temp_log_188150_4e1f7966,Room Admin,2018-12-06 08:23:00,42,Out,2018-12-06 08:23:00
__export__.temp_log_188142_a28f6bb0,Room Admin,2018-12-06 08:21:00,41,Out,2018-12-06 08:21:00
__export__.temp_log_188141_6561e344,Room Admin,2018-12-06 08:21:00,41,Out,2018-12-06 08:21:00
__export__.temp_log_188138_42fcf05d,Room Admin,2018-12-06 08:19:00,42,Out,2018-12-06 08:19:00
__export__.temp_log_188137_83a88b90,Room Admin,2018-12-06 08:19:00,42,Out,2018-12-06 08:19:00
__export__.temp_log_188109_eef635d0,Room Admin,2018-12-06 08:07:00,41,Out,2018-12-06 08:07:00
__export__.temp_log_188107_68141f9b,Room Admin,2018-12-06 08:07:00,41,Out,2018-12-06 08:07:00
__export__.temp_log_188092_25e66ca7,Room Admin,2018-12-06 08:01:00,41,Out,2018-12-06 08:01:00
__export__.temp_log_188091_b79e651a,Room Admin,2018-12-06 08:01:00,41,Out,2018-12-06 08:01:00
__export__.temp_log_188061_3335e1b8,Room Admin,2018-12-06 07:54:00,41,Out,2018-12-06 07:54:00
__export__.temp_log_188059_b79b80f4,Room Admin,2018-12-06 07:53:00,41,Out,2018-12-06 07:53:00
__export__.temp_log_188050_12911824,Room Admin,2018-12-06 07:51:00,41,Out,2018-12-06 07:51:00
__export__.temp_log_188053_cc465664,Room Admin,2018-12-06 07:51:00,41,Out,2018-12-06 07:51:00
__export__.temp_log_188017_a478c065,Room Admin,2018-12-06 07:42:00,41,Out,2018-12-06 07:42:00
__export__.temp_log_188018_01604112,Room Admin,2018-12-06 07:41:00,41,Out,2018-12-06 07:41:00
__export__.temp_log_187989_45b20833,Room Admin,2018-12-06 07:28:00,41,Out,2018-12-06 07:28:00
__export__.temp_log_187992_cd7201e9,Room Admin,2018-12-06 07:28:00,41,Out,2018-12-06 07:28:00
__export__.temp_log_187933_aa0958d0,Room Admin,2018-12-06 07:08:00,41,Out,2018-12-06 07:08:00
__export__.temp_log_187934_c5c0cce6,Room Admin,2018-12-06 07:08:00,41,Out,2018-12-06 07:08:00
__export__.temp_log_187886_e47f2a4a,Room Admin,2018-12-06 06:48:00,41,Out,2018-12-06 06:48:00
__export__.temp_log_187884_8fa9656a,Room Admin,2018-12-06 06:48:00,41,Out,2018-12-06 06:48:00
__export__.temp_log_187878_efd76d28,Room Admin,2018-12-06 06:46:00,41,Out,2018-12-06 06:46:00
__export__.temp_log_187877_3f3b59eb,Room Admin,2018-12-06 06:46:00,41,Out,2018-12-06 06:46:00
__export__.temp_log_187874_703ce60c,Room Admin,2018-12-06 06:44:00,41,Out,2018-12-06 06:44:00
